,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0,19600.0
1,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0,19404.0
2,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96,19209.96
3,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604,19017.8604
4,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997,18827.681795999997
5,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804,18639.40497804
6,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596,18453.0109282596
7,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977,18268.480818977
8,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235,18085.796010787235
9,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936,17904.93805067936
10,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568,17725.888670172568
11,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842,17548.629783470842
12,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134,17373.143485636134
13,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,17199.41205077977,0.0,17199.41205077977,17199.41205077977
14,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,17027.417930271975,0.0,0.0,17027.417930271975,17027.417930271975
15,16857.143750969255,16857.143750969255,16857.143750969255,16857.143750969255,16857.143750969255,16857.143750969255,16857.143750969255,16857.143750969255,0.0,0.0,0.0,16857.143750969255,16857.143750969255
16,16688.57231345956,16688.57231345956,16688.57231345956,16688.57231345956,16688.57231345956,16688.57231345956,16688.57231345956,16688.57231345956,0.0,0.0,0.0,0.0,0.0
17,16521.686590324964,16521.686590324964,16521.686590324964,16521.686590324964,16521.686590324964,16521.686590324964,16521.686590324964,16521.686590324964,0.0,0.0,0.0,0.0,0.0
18,16356.469724421715,16356.469724421715,16356.469724421715,16356.469724421715,16356.469724421715,16356.469724421715,16356.469724421715,16356.469724421715,0.0,0.0,0.0,0.0,0.0
19,16192.905027177498,16192.905027177498,16192.905027177498,16192.905027177498,16192.905027177498,16192.905027177498,16192.905027177498,16192.905027177498,0.0,0.0,0.0,0.0,0.0
20,16030.975976905724,16030.975976905724,16030.975976905724,16030.975976905724,16030.975976905724,16030.975976905724,16030.975976905724,16030.975976905724,0.0,0.0,0.0,0.0,0.0
21,15870.666217136664,15870.666217136664,15870.666217136664,15870.666217136664,15870.666217136664,15870.666217136664,15870.666217136664,0.0,0.0,0.0,0.0,0.0,0.0
22,15711.959554965299,15711.959554965299,15711.959554965299,15711.959554965299,15711.959554965299,15711.959554965299,15711.959554965299,0.0,0.0,0.0,0.0,0.0,0.0
23,15554.839959415645,15554.839959415645,15554.839959415645,15554.839959415645,15554.839959415645,15554.839959415645,15554.839959415645,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,15399.291559821488,15399.291559821488,15399.291559821488,15399.291559821488,15399.291559821488,15399.291559821488,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,15245.298644223274,15245.298644223274,15245.298644223274,15245.298644223274,15245.298644223274,15245.298644223274,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,15092.84565778104,15092.84565778104,15092.84565778104,15092.84565778104,15092.84565778104,15092.84565778104,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,14941.917201203229,14941.917201203229,14941.917201203229,14941.917201203229,14941.917201203229,14941.917201203229,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,14792.498029191198,14792.498029191198,14792.498029191198,14792.498029191198,14792.498029191198,14792.498029191198,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,14644.573048899285,14644.573048899285,14644.573048899285,14644.573048899285,14644.573048899285,14644.573048899285,0.0,0.0,0.0,0.0,0.0,0.0
