,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0,20650.0
1,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5,20443.5
2,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065,20239.065
3,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435,20036.67435
4,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065,19836.3076065
5,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997,19637.944530434997
6,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065,19441.56508513065
7,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934,19247.14943427934
8,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548,19054.677939936548
9,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185,18864.131160537185
10,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181,18675.48984893181
11,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493,18488.734950442493
12,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807,18303.84760093807
13,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,18120.809124928684,0.0,0.0,18120.809124928684,18120.809124928684,18120.809124928684,0.0,18120.809124928684,18120.809124928684,18120.809124928684
14,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,17939.6010336794,0.0,0.0,17939.6010336794,17939.6010336794,17939.6010336794,0.0,0.0,0.0,17939.6010336794
15,17760.205023342605,17760.205023342605,17760.205023342605,17760.205023342605,17760.205023342605,17760.205023342605,17760.205023342605,17760.205023342605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.205023342605
16,17582.60297310918,17582.60297310918,17582.60297310918,17582.60297310918,17582.60297310918,17582.60297310918,17582.60297310918,17582.60297310918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17582.60297310918
17,17406.77694337809,17406.77694337809,17406.77694337809,17406.77694337809,17406.77694337809,17406.77694337809,17406.77694337809,17406.77694337809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,17232.709173944306,17232.709173944306,17232.709173944306,17232.709173944306,17232.709173944306,17232.709173944306,17232.709173944306,17232.709173944306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17060.382082204866,17060.382082204866,17060.382082204866,17060.382082204866,17060.382082204866,17060.382082204866,17060.382082204866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16889.778261382817,16889.778261382817,16889.778261382817,16889.778261382817,16889.778261382817,16889.778261382817,16889.778261382817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,16720.880478768988,16720.880478768988,16720.880478768988,16720.880478768988,16720.880478768988,16720.880478768988,16720.880478768988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,16553.6716739813,16553.6716739813,16553.6716739813,16553.6716739813,16553.6716739813,16553.6716739813,16553.6716739813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,16388.134957241484,16388.134957241484,16388.134957241484,16388.134957241484,16388.134957241484,16388.134957241484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,16224.253607669067,16224.253607669067,16224.253607669067,16224.253607669067,16224.253607669067,16224.253607669067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
